"","Year","City","Sport","Discipline","Athlete","Country","Gender","Event","Medal"
"21596",1996,"Atlanta","Athletics","Athletics","NIKOLAYEVA, Yelena","RUS","Women","10000M Walk","Gold"
"21614",1996,"Atlanta","Athletics","Athletics","MASTERKOVA, Svetlana","RUS","Women","1500M","Gold"
"21624",1996,"Atlanta","Athletics","Athletics","MARKOV, Ilya","RUS","Men","20KM Walk","Silver"
"21708",1996,"Atlanta","Athletics","Athletics","SHCHENNIKOV, Mikhail","RUS","Men","50KM Walk","Silver"
"21713",1996,"Atlanta","Athletics","Athletics","MASTERKOVA, Svetlana","RUS","Women","800M","Gold"
"21723",1996,"Atlanta","Athletics","Athletics","SADOVA, Natalya","RUS","Women","Discus Throw","Silver"
"21753",1996,"Atlanta","Athletics","Athletics","YEGOROVA, Valentina","RUS","Women","Marathon","Silver"
"21756",1996,"Atlanta","Athletics","Athletics","TRANDENKOV, Igor","RUS","Men","Pole Vault","Silver"
"21760",1996,"Atlanta","Athletics","Athletics","KHUDOROZHKINA, Irina","RUS","Women","Shot Put","Bronze"
"21768",1996,"Atlanta","Athletics","Athletics","LASOVSKAYA, Inna","RUS","Women","Triple Jump","Silver"
"23548",2000,"Sydney","Athletics","Athletics","ANDREYEV, Vladimir","RUS","Men","20KM Walk","Bronze"
"23564",2000,"Sydney","Athletics","Athletics","PRIVALOVA, Irina","RUS","Women","400M Hurdles","Gold"
"23607",2000,"Sydney","Athletics","Athletics","GONCHARENKO, Svetlana","RUS","Women","4X400M Relay","Bronze"
"23608",2000,"Sydney","Athletics","Athletics","KOTLYAROVA, Olga","RUS","Women","4X400M Relay","Bronze"
"23609",2000,"Sydney","Athletics","Athletics","NAZAROVA, Natalya","RUS","Women","4X400M Relay","Bronze"
"23610",2000,"Sydney","Athletics","Athletics","PRIVALOVA, Irina","RUS","Women","4X400M Relay","Bronze"
"23611",2000,"Sydney","Athletics","Athletics","SOTNIKOVA, Yulia","RUS","Women","4X400M Relay","Bronze"
"23612",2000,"Sydney","Athletics","Athletics","ZYKINA, Olesya","RUS","Women","4X400M Relay","Bronze"
"23652",2000,"Sydney","Athletics","Athletics","KUZENKOVA, Olga","RUS","Women","Hammer Throw","Silver"
"23655",2000,"Sydney","Athletics","Athletics","PROKHOROVA, Yelena","RUS","Women","Heptathlon","Silver"
"23657",2000,"Sydney","Athletics","Athletics","KLIUGIN, Sergey","RUS","Men","High Jump","Gold"
"23661",2000,"Sydney","Athletics","Athletics","YELESINA, Yelena","RUS","Women","High Jump","Gold"
"23663",2000,"Sydney","Athletics","Athletics","MAKAROV, Sergey","RUS","Men","Javelin Throw","Bronze"
"23672",2000,"Sydney","Athletics","Athletics","KOTOVA, Tatyana","RUS","Women","Long Jump","Bronze"
"23681",2000,"Sydney","Athletics","Athletics","TARASOV, Maksim","RUS","Men","Pole Vault","Bronze"
"23692",2000,"Sydney","Athletics","Athletics","PELESHENKO, Larisa","RUS","Women","Shot Put","Silver"
"23693",2000,"Sydney","Athletics","Athletics","KAPUSTIN, Denis","RUS","Men","Triple Jump","Bronze"
"23698",2000,"Sydney","Athletics","Athletics","LEBEDEVA, Tatyana","RUS","Women","Triple Jump","Silver"
"25556",2004,"Athens","Athletics","Athletics","TOMASHEVA, Tatyana","RUS","Women","1500M","Silver"
"25565",2004,"Athens","Athletics","Athletics","IVANOVA, Olimpiada","RUS","Women","20KM Race Walk","Silver"
"25575",2004,"Athens","Athletics","Athletics","ANTYUKH, Natalya","RUS","Women","400M","Bronze"
"25606",2004,"Athens","Athletics","Athletics","FYODOROVA, Olga","RUS","Women","4X100M Relay","Silver"
"25607",2004,"Athens","Athletics","Athletics","KHABAROVA, Irina","RUS","Women","4X100M Relay","Silver"
"25608",2004,"Athens","Athletics","Athletics","KRUGLOVA, Larisa","RUS","Women","4X100M Relay","Silver"
"25609",2004,"Athens","Athletics","Athletics","TABAKOVA, Yuliya","RUS","Women","4X100M Relay","Silver"
"25635",2004,"Athens","Athletics","Athletics","ANTYUKH, Natalya","RUS","Women","4X400M Relay","Silver"
"25636",2004,"Athens","Athletics","Athletics","FIROVA, Tatyana","RUS","Women","4X400M Relay","Silver"
"25637",2004,"Athens","Athletics","Athletics","IVANOVA, Natalya","RUS","Women","4X400M Relay","Silver"
"25638",2004,"Athens","Athletics","Athletics","KRASNOMOVETS, Olesya","RUS","Women","4X400M Relay","Silver"
"25639",2004,"Athens","Athletics","Athletics","NAZAROVA, Natalya","RUS","Women","4X400M Relay","Silver"
"25640",2004,"Athens","Athletics","Athletics","ZYKINA, Olesya","RUS","Women","4X400M Relay","Silver"
"25647",2004,"Athens","Athletics","Athletics","VOYEVODIN, Aleksey","RUS","Men","50KM Walk","Bronze"
"25649",2004,"Athens","Athletics","Athletics","NIZHEGORODOV, Denis","RUS","Men","50KM Walk","Silver"
"25651",2004,"Athens","Athletics","Athletics","BORZAKOVSKIY, Yuriy","RUS","Men","800M","Gold"
"25663",2004,"Athens","Athletics","Athletics","SADOVA, Natalya","RUS","Women","Discus Throw","Gold"
"25669",2004,"Athens","Athletics","Athletics","KUZENKOVA, Olga","RUS","Women","Hammer Throw","Gold"
"25678",2004,"Athens","Athletics","Athletics","SLESARENKO, Elena","RUS","Women","High Jump","Gold"
"25680",2004,"Athens","Athletics","Athletics","MAKAROV, Sergey","RUS","Men","Javelin Throw","Bronze"
"25689",2004,"Athens","Athletics","Athletics","KOTOVA, Tatyana","RUS","Women","Long Jump","Bronze"
"25690",2004,"Athens","Athletics","Athletics","LEBEDEVA, Tatyana","RUS","Women","Long Jump","Gold"
"25691",2004,"Athens","Athletics","Athletics","SIMAGINA, Irina","RUS","Women","Long Jump","Silver"
"25702",2004,"Athens","Athletics","Athletics","ISINBAEVA, Elena","RUS","Women","Pole Vault","Gold"
"25703",2004,"Athens","Athletics","Athletics","FEOFANOVA, Svetlana","RUS","Women","Pole Vault","Silver"
"25707",2004,"Athens","Athletics","Athletics","KRIVELYOVA, Svetlana","RUS","Women","Shot Put","Bronze"
"25710",2004,"Athens","Athletics","Athletics","BURKENYA, Danila","RUS","Men","Triple Jump","Bronze"
"25713",2004,"Athens","Athletics","Athletics","LEBEDEVA, Tatyana","RUS","Women","Triple Jump","Bronze"
"27577",2008,"Beijing","Athletics","Athletics","KANISKINA, Olga","RUS","Women","20KM Race Walk","Gold"
"27580",2008,"Beijing","Athletics","Athletics","BORCHIN, Valeriy","RUS","Men","20KM Walk","Gold"
"27585",2008,"Beijing","Athletics","Athletics","VOLKOVA, Ekaterina","RUS","Women","3000M Steeplechase","Bronze"
"27586",2008,"Beijing","Athletics","Athletics","GALKINA-SAMITOVA, Gulnara","RUS","Women","3000M Steeplechase","Gold"
"27616",2008,"Beijing","Athletics","Athletics","CHERMOSHANSKAYA, Yuliya","RUS","Women","4X100M Relay","Gold"
"27617",2008,"Beijing","Athletics","Athletics","FEDORIVA, Aleksandra","RUS","Women","4X100M Relay","Gold"
"27618",2008,"Beijing","Athletics","Athletics","GUSHCHINA, Yulia","RUS","Women","4X100M Relay","Gold"
"27619",2008,"Beijing","Athletics","Athletics","POLYAKOVA, Evgeniya","RUS","Women","4X100M Relay","Gold"
"27624",2008,"Beijing","Athletics","Athletics","ALEXEEV, Denis","RUS","Men","4X400M Relay","Bronze"
"27625",2008,"Beijing","Athletics","Athletics","DYLDIN, Maksim","RUS","Men","4X400M Relay","Bronze"
"27626",2008,"Beijing","Athletics","Athletics","FROLOV, Vladislav","RUS","Men","4X400M Relay","Bronze"
"27627",2008,"Beijing","Athletics","Athletics","KOKORIN, Anton","RUS","Men","4X400M Relay","Bronze"
"27644",2008,"Beijing","Athletics","Athletics","FIROVA, Tatiana","RUS","Women","4X400M Relay","Silver"
"27645",2008,"Beijing","Athletics","Athletics","GUSHCHINA, Yulia","RUS","Women","4X400M Relay","Silver"
"27646",2008,"Beijing","Athletics","Athletics","KAPACHINSKAYA, Anastasia","RUS","Women","4X400M Relay","Silver"
"27647",2008,"Beijing","Athletics","Athletics","LITVINOVA, Liudmila","RUS","Women","4X400M Relay","Silver"
"27654",2008,"Beijing","Athletics","Athletics","NIZHEGORODOV, Denis","RUS","Men","50KM Walk","Bronze"
"27678",2008,"Beijing","Athletics","Athletics","CHERNOVA, Tatiana","RUS","Women","Heptathlon","Bronze"
"27681",2008,"Beijing","Athletics","Athletics","RYBAKOV, Yaroslav","RUS","Men","High Jump","Bronze"
"27682",2008,"Beijing","Athletics","Athletics","SILNOV, Andrey","RUS","Men","High Jump","Gold"
"27684",2008,"Beijing","Athletics","Athletics","CHICHEROVA, Anna","RUS","Women","High Jump","Bronze"
"27692",2008,"Beijing","Athletics","Athletics","ABAKUMOVA, Maria","RUS","Women","Javelin Throw","Silver"
"27698",2008,"Beijing","Athletics","Athletics","LEBEDEVA, Tatyana","RUS","Women","Long Jump","Silver"
"27707",2008,"Beijing","Athletics","Athletics","LUKYANENKO, Evgeny","RUS","Men","Pole Vault","Silver"
"27708",2008,"Beijing","Athletics","Athletics","FEOFANOVA, Svetlana","RUS","Women","Pole Vault","Bronze"
"27709",2008,"Beijing","Athletics","Athletics","ISINBAEVA, Elena","RUS","Women","Pole Vault","Gold"
"27722",2008,"Beijing","Athletics","Athletics","LEBEDEVA, Tatyana","RUS","Women","Triple Jump","Silver"
"29613",2012,"London","Athletics","Athletics","LASHMANOVA, Elena","RUS","Women","20KM Race Walk","Gold"
"29634",2012,"London","Athletics","Athletics","ANTYUKH, Natalya","RUS","Women","400M Hurdles","Gold"
"29685",2012,"London","Athletics","Athletics","ANTYUKH, Natalya","RUS","Women","4X400M Relay","Silver"
"29686",2012,"London","Athletics","Athletics","FIROVA, Tatiana","RUS","Women","4X400M Relay","Silver"
"29687",2012,"London","Athletics","Athletics","GUSHCHINA, Yulia","RUS","Women","4X400M Relay","Silver"
"29688",2012,"London","Athletics","Athletics","KAPACHINSKAYA, Anastasiya","RUS","Women","4X400M Relay","Silver"
"29689",2012,"London","Athletics","Athletics","KRIVOSHAPKA, Antonina","RUS","Women","4X400M Relay","Silver"
"29690",2012,"London","Athletics","Athletics","NAZAROVA, Natalya","RUS","Women","4X400M Relay","Silver"
"29708",2012,"London","Athletics","Athletics","SAVINOVA, Mariya","RUS","Women","800M","Gold"
"29710",2012,"London","Athletics","Athletics","POISTOGOVA, Ekaterina","RUS","Women","800M","Bronze"
"29728",2012,"London","Athletics","Athletics","CHERNOVA, Tatyana","RUS","Women","Heptathlon","Bronze"
"29729",2012,"London","Athletics","Athletics","UKHOV, Ivan","RUS","Men","High Jump","Gold"
"29734",2012,"London","Athletics","Athletics","CHICHEROVA, Anna","RUS","Women","High Jump","Gold"
"29736",2012,"London","Athletics","Athletics","SHKOLINA, Svetlana","RUS","Women","High Jump","Bronze"
"29747",2012,"London","Athletics","Athletics","SOKOLOVA, Elena","RUS","Women","Long Jump","Silver"
"29754",2012,"London","Athletics","Athletics","PETROVA ARKHIPOVA, Tatyana","RUS","Women","Marathon","Bronze"
"29760",2012,"London","Athletics","Athletics","ISINBAEVA, Yelena","RUS","Women","Pole Vault","Bronze"
